From,To,Assignment Name,Value,Enabled
,GPIOC_24,P$132,PIN_V14,Yes
,GPIOC_23,P$133,PIN_Y14,Yes
,GPIOC_22,P$134,PIN_T14,Yes
,GPIOC_21,P$135,PIN_R14,Yes
,GPIOC_20,P$136,PIN_AB13,Yes
,GPIOC_19,P$137,PIN_AA13,Yes
,GPIOC_18,P$138,PIN_V13,Yes
,SD_WRITEPROTECT,P$139,PIN_U13,Yes
,SD_DETECT,P$140,PIN_T13,Yes
,SD_DAT1,P$141,PIN_AB12,Yes
,SD_MISO,P$142,PIN_AA12,Yes
,SD_SCK,P$143,PIN_U12,Yes
,SD_MOSI,P$144,PIN_T12,Yes
,SD_CS,P$145,PIN_R12,Yes
,SD_DAT2,P$146,PIN_AB11,Yes
,PS2CLK,P$147,PIN_U11,Yes
,PS2DAT,P$148,PIN_Y11,Yes
,USB2DM,P$149,PIN_R11,Yes
,USB2DP,P$150,PIN_AB10,Yes
,USB1DM,P$151,PIN_AA10,Yes
,USB1DP,P$152,PIN_V10,Yes
,SDRAM_A_4,P$153,PIN_Y10,Yes
,SDRAM_A_5,P$154,PIN_U10,Yes
,SDRAM_A_6,P$155,PIN_T10,Yes
,SDRAM_A_7,P$156,PIN_AA9,Yes
,SDRAM_A_8,P$157,PIN_W9,Yes
,SDRAM_A_9,P$158,PIN_Y9,Yes
,SDRAM_A_11,P$159,PIN_V9,Yes
,SDRAM_A_12,P$160,PIN_T9,Yes
,SDRAM_CKE,P$161,PIN_AB8,Yes
,SDRAM_CLK,P$162,PIN_AA8,Yes
,SDRAM_UDQM,P$163,PIN_U8,Yes
,SDRAM_DQ_8,P$164,PIN_W8,Yes
,SDRAM_DQ_9,P$165,PIN_T8,Yes
,SDRAM_DQ_10,P$166,PIN_AB7,Yes
,SDRAM_DQ_11,P$167,PIN_AA7,Yes
,SDRAM_DQ_12,P$168,PIN_U7,Yes
,SDRAM_DQ_13,P$169,PIN_AB6,Yes
,SDRAM_DQ_14,P$170,PIN_V6,Yes
,SDRAM_DQ_15,P$171,PIN_AB5,Yes
,SDRAM_A_3,P$172,PIN_U6,Yes
,SDRAM_A_2,P$173,PIN_T7,Yes
,SDRAM_A_1,P$174,PIN_R5,Yes
,SDRAM_A_0,P$175,PIN_R6,Yes
